day	month	year	AccumulationFinal
25	7	2010	0.2
25	7	2013	0.0
25	7	2015	0.0
25	8	2013	0.0
25	8	2015	0.2
25	9	2013	0.0
25	9	2015	0.0
25	10	2012	0.0
25	10	2013	0.2
25	10	2015	0.0
25	11	2012	0.0
25	11	2013	11.2
25	11	2015	0.6000000000000001
25	12	2012	0.0
25	12	2013	0.0
25	12	2015	0.0
26	1	2013	0.0
26	1	2014	1.2
26	1	2016	835.4000000000001
26	2	2013	2351.7999999999997
26	2	2014	691.5999999999999
26	2	2016	0.0
26	3	2014	0.0
26	3	2015	0.0
26	3	2016	14.6
26	4	2013	0.0
26	4	2014	0.4
26	4	2015	0.0
26	4	2016	8.8
26	5	2010	0.0
26	5	2013	0.0
26	5	2014	0.0
26	5	2015	0.0
26	6	2010	8.399999999999999
26	6	2013	0.6000000000000001
26	6	2014	0.2
26	6	2015	0.0
26	7	2010	0.0
26	7	2013	0.0
26	7	2015	0.2
26	8	2013	12.599999999999998
26	8	2015	0.0
26	9	2013	0.0
26	9	2015	0.0
26	10	2012	4.400000000000001
26	10	2013	17.599999999999994
26	10	2015	0.0
26	11	2012	0.0
26	11	2013	0.0
26	11	2015	0.8
26	12	2012	561.8
26	12	2013	0.0
26	12	2015	2.8
27	1	2013	0.0
27	1	2014	3281.7999999999997
27	1	2016	308.79999999999995
27	2	2013	8.4
27	2	2014	2026.8000000000002
27	2	2016	316.8
27	3	2014	1.5999999999999999
27	3	2015	0.0
27	3	2016	0.6000000000000001
27	4	2013	0.0
27	4	2014	0.0
27	4	2015	0.0
27	4	2016	0.0
27	5	2010	0.0
27	5	2013	0.0
27	5	2014	0.0
27	5	2015	13.600000000000001
27	6	2010	11.599999999999998
27	6	2013	0.0
27	6	2014	0.0
27	6	2015	52.400000000000055
27	7	2010	0.0
27	7	2013	11.8
27	7	2015	0.0
27	8	2013	6.000000000000001
27	8	2015	0.0
27	9	2013	0.0
27	9	2015	0.0
27	10	2012	17.399999999999988
27	10	2013	0.0
27	10	2015	0.8
27	11	2012	0.0
27	11	2013	0.0
27	11	2015	16.599999999999994
27	12	2012	155.4
27	12	2013	1.2000000000000002
27	12	2015	6.200000000000002
28	1	2013	4.800000000000001
28	1	2014	1980.2000000000005
28	1	2016	292.79999999999995
28	2	2013	9.199999999999996
28	2	2014	0.0
28	2	2016	286.6
28	3	2014	285.00000000000006
28	3	2015	0.0
28	3	2016	16.999999999999996
28	4	2013	11.800000000000002
28	4	2014	0.0
28	4	2015	0.0
28	4	2016	0.6
28	5	2010	0.0
28	5	2013	27.4
28	5	2014	0.0
28	5	2015	1.2
28	6	2010	0.2
28	6	2013	49.400000000000006
28	6	2014	0.0
28	6	2015	38.000000000000036
28	7	2010	13.599999999999998
28	7	2013	2.6000000000000005
28	7	2015	0.0
28	8	2013	0.0
28	8	2015	0.0
28	9	2013	0.0
28	9	2015	0.6000000000000001
28	10	2012	10.799999999999995
28	10	2013	0.0
28	10	2015	37.40000000000001
28	11	2012	0.0
28	11	2013	0.0
28	11	2015	0.0
28	12	2012	0.0
28	12	2013	10.399999999999993
28	12	2015	46.8
29	1	2013	20.19999999999999
29	1	2014	6089.6
29	1	2016	1.2
29	2	2016	6.000000000000001
29	3	2014	28.6
29	3	2015	2030.7999999999997
29	3	2016	0.0
29	4	2013	0.4
29	4	2014	31.200000000000003
29	4	2015	0.0
29	4	2016	0.0
29	5	2010	0.0
29	5	2013	13.0
29	5	2014	0.0
29	5	2015	0.0
29	6	2010	0.0
29	6	2013	0.2
29	6	2014	0.0
29	6	2015	0.0
29	7	2010	0.0
29	7	2013	0.4
29	7	2015	0.0
29	8	2013	0.0
29	8	2015	0.0
29	9	2013	0.8
29	9	2015	27.199999999999996
29	10	2012	16.599999999999998
29	10	2013	0.0
29	10	2015	18.0
29	11	2012	0.0
29	11	2013	0.0
29	11	2015	0.0
29	12	2012	0.0
29	12	2013	5.200000000000002
29	12	2015	32.39999999999997
30	1	2013	6.4
30	1	2014	729.0
30	1	2016	324.0
30	3	2014	0.0
30	3	2015	640.8000000000006
30	3	2016	0.0
30	4	2013	0.0
30	4	2014	7.200000000000003
30	4	2015	0.0
30	4	2016	0.0
30	5	2010	0.0
30	5	2013	3.6000000000000005
30	5	2014	0.0
30	5	2015	99.20000000000006
30	6	2010	0.0
30	6	2013	0.0
30	6	2014	0.0
30	6	2015	1.6
30	7	2013	0.0
30	7	2015	0.0
30	8	2013	0.8
30	8	2015	0.4
30	9	2013	1.0
30	9	2015	0.2
30	10	2012	8.000000000000005
30	10	2013	0.0
30	10	2015	0.0
30	11	2012	0.8
30	11	2013	0.0
30	11	2015	0.2
30	12	2012	2.8000000000000003
30	12	2013	0.0
30	12	2015	0.2
31	1	2013	236.60000000000002
31	1	2014	482.6
31	1	2016	4.000000000000001
31	3	2014	0.0
31	3	2015	0.0
31	3	2016	46.000000000000014
31	5	2010	1.8
31	5	2013	8.4
31	5	2014	0.0
31	5	2015	65.60000000000007
31	7	2013	8.000000000000002
31	7	2015	5.800000000000001
31	8	2013	0.0
31	8	2015	0.0
31	10	2012	6.200000000000003
31	10	2013	27.19999999999997
31	10	2015	2.6
31	12	2012	122.20000000000002
31	12	2013	1008.6
31	12	2015	0.0
